NrInstancji	l. maszyn	l. zadan	Natural_1-cMax	Natural_1-Time	RandShuffle_1-cMax	RandShuffle_1-Time	Neh_1-cMax	Neh_1-Time
1	3	4	32	00:00.268	32	00:00.273	32	00:00.473
2	5	20	1280	00:01.59	1279	00:00.395	1278	00:00.687
3	5	20	1361	00:00.801	1366	00:00.474	1365	00:00.415
4	5	20	1097	00:00.425	1098	00:00.451	1094	00:00.432
5	5	20	1308	00:00.500	1306	00:00.415	1303	00:00.393
6	5	20	1241	00:00.494	1241	00:00.409	1241	00:00.415
7	5	20	1195	00:00.553	1200	00:00.399	1200	00:00.479
8	5	20	1251	00:00.403	1245	00:00.390	1251	00:00.543
9	5	20	1208	00:00.457	1206	00:00.479	1211	00:00.411
10	5	20	1251	00:00.451	1258	00:00.482	1250	00:00.428
11	5	20	1118	00:00.490	1114	00:00.467	1123	00:00.513
12	10	20	1606	00:00.894	1607	00:00.982	1618	00:00.794
13	10	20	1692	00:00.806	1691	00:00.843	1685	00:00.770
14	10	20	1524	00:00.811	1541	00:00.890	1527	00:00.808
15	10	20	1402	00:00.855	1399	00:00.862	1399	00:00.802
16	10	20	1444	00:00.999	1459	00:00.835	1456	00:00.896
17	10	20	1426	00:00.902	1424	00:00.927	1407	00:00.834
18	10	20	1506	00:00.862	1505	00:00.852	1498	00:00.764
19	10	20	1565	00:00.905	1582	00:00.872	1569	00:00.814
20	10	20	1619	00:00.857	1615	00:00.823	1613	00:00.771
