NrInstancji	l. maszyn	l. zadan	Method1-cMax	Method1-Time	Method2-cMax	Method2-Time	Method3-cMax	Method3-Time	Method4-cMax	Method4-Time
1	3	4	32	00:00.303	36	00:00.265	36	00:00.280	32	00:00.249
2	5	20	1280	00:00.878	1356	00:00.939	1370	00:00.549	1377	00:00.406
3	5	20	1361	00:00.482	1424	00:00.415	1409	00:00.473	1472	00:00.414
4	5	20	1097	00:00.463	1305	00:00.481	1242	00:00.484	1344	00:00.395
5	5	20	1308	00:00.406	1519	00:00.456	1513	00:00.427	1533	00:00.381
6	5	20	1241	00:00.465	1368	00:00.473	1368	00:00.503	1389	00:00.391
7	5	20	1195	00:00.439	1475	00:00.530	1422	00:00.419	1375	00:00.417
8	5	20	1251	00:00.477	1408	00:00.402	1390	00:00.448	1380	00:00.403
9	5	20	1208	00:00.427	1397	00:00.488	1373	00:00.442	1357	00:00.389
10	5	20	1251	00:00.458	1461	00:00.407	1425	00:00.517	1413	00:00.366
11	5	20	1118	00:00.419	1264	00:00.494	1220	00:00.402	1174	00:00.427
12	10	20	1606	00:00.838	1882	00:00.832	1850	00:00.787	1755	00:00.727
13	10	20	1692	00:00.839	1914	00:00.807	1865	00:00.756	1942	00:00.704
14	10	20	1524	00:00.839	1746	00:00.887	1730	00:00.757	1701	00:00.790
15	10	20	1402	00:00.801	1668	00:00.876	1649	00:00.763	1604	00:00.749
16	10	20	1444	00:00.785	1707	00:00.863	1693	00:00.888	1727	00:00.729
17	10	20	1426	00:00.816	1545	00:00.839	1602	00:00.828	1792	00:00.740
18	10	20	1506	00:00.854	1735	00:00.883	1723	00:00.798	1747	00:00.717
19	10	20	1565	00:00.990	1842	00:00.966	1854	00:00.802	1905	00:00.747
20	10	20	1619	00:00.838	1816	00:00.919	1792	00:00.885	1875	00:00.940
