NrInstancji	l. maszyn	l. zadan	Neh-cMax	Neh-Time	TS-cMax	TS-Time	Johnson-cMax	Johnson-Time
1	3	4	32	00:00.2	32	00:00.330	32	00:00.200
2	5	20	1286	00:00.1	1280	00:01.344	1443	00:00.87
3	5	20	1365	00:00.0	1361	00:01.450	1463	00:00.16
4	5	20	1159	00:00.0	1097	00:00.913	1355	00:00.18
5	5	20	1325	00:00.1	1308	00:00.631	1418	00:00.19
6	5	20	1305	00:00.0	1241	00:00.793	1323	00:00.19
7	5	20	1228	00:00.0	1195	00:00.890	1355	00:00.36
8	5	20	1278	00:00.1	1251	00:00.807	1500	00:00.20
9	5	20	1223	00:00.0	1208	00:00.803	1402	00:00.28
10	5	20	1291	00:00.1	1251	00:01.121	1405	00:00.20
11	5	20	1151	00:00.0	1118	00:00.791	1164	00:00.16
12	10	20	1680	00:00.1	1606	00:01.245	1902	00:00.37
13	10	20	1729	00:00.2	1692	00:01.183	2091	00:00.19
14	10	20	1557	00:00.1	1524	00:01.275	1791	00:00.18
15	10	20	1439	00:00.1	1402	00:01.241	1547	00:00.25
16	10	20	1502	00:00.1	1444	00:01.265	1653	00:00.20
17	10	20	1453	00:00.2	1426	00:01.351	1652	00:00.33
18	10	20	1562	00:00.1	1506	00:01.317	1671	00:00.17
19	10	20	1609	00:00.2	1565	00:01.205	1823	00:00.17
20	10	20	1647	00:00.1	1619	00:01.139	1720	00:00.16
NrInstancji	l. maszyn	l. zadan	Neh-cMax	Neh-Time	TS-cMax	TS-Time	Johnson-cMax	Johnson-Time
1	3	4	32	00:00.3	32	00:00.359	32	00:00.68
2	5	20	1286	00:00.0	1280	00:00.479	1443	00:00.2
3	5	20	1365	00:00.0	1361	00:00.584	1463	00:00.10
4	5	20	1159	00:00.0	1097	00:00.554	1355	00:00.23
5	5	20	1325	00:00.0	1308	00:00.674	1418	00:00.21
6	5	20	1305	00:00.1	1241	00:00.596	1323	00:00.15
7	5	20	1228	00:00.1	1195	00:00.547	1355	00:00.15
8	5	20	1278	00:00.1	1251	00:00.468	1500	00:00.16
9	5	20	1223	00:00.0	1208	00:00.477	1402	00:00.16
10	5	20	1291	00:00.1	1251	00:00.477	1405	00:00.16
11	5	20	1151	00:00.0	1118	00:00.559	1164	00:00.16
12	10	20	1680	00:00.1	1606	00:00.830	1902	00:00.13
13	10	20	1729	00:00.1	1692	00:01.95	2091	00:00.102
14	10	20	1557	00:00.2	1524	00:01.24	1791	00:00.12
15	10	20	1439	00:00.2	1402	00:00.831	1547	00:00.18
16	10	20	1502	00:00.2	1444	00:00.771	1653	00:00.16
17	10	20	1453	00:00.2	1426	00:00.863	1652	00:00.19
18	10	20	1562	00:00.1	1506	00:00.828	1671	00:00.16
19	10	20	1609	00:00.1	1565	00:00.858	1823	00:00.16
20	10	20	1647	00:00.1	1619	00:00.767	1720	00:00.20
